t=1655301836.8500464;temp=90.1875;heater=0;scale=-0.007801377741000001;pressure=4.095;pump=70.87014180421829;stage=1;
t=1655301836.9072082;temp=90.1875;heater=0;scale=0.068070844995;pressure=4.095;pump=71.10854244232178;stage=1;
t=1655301836.9533246;temp=90.1875;heater=0;scale=0.068070844995;pressure=4.095;pump=71.34934617578983;stage=1;
t=1655301837.0086935;temp=90.1875;heater=0;scale=0.039924697851;pressure=4.095;pump=71.57959006726742;stage=1;
t=1655301837.054263;temp=90.1875;heater=0;scale=0.039924697851;pressure=4.095;pump=71.81650611758232;stage=1;
t=1655301837.1101842;temp=90.125;heater=0;scale=0.033041129256;pressure=4.095;pump=72.05112090706825;stage=1;
t=1655301837.1558084;temp=90.125;heater=0;scale=0.033041129256;pressure=4.095;pump=72.05112090706825;stage=1;
t=1655301837.2009916;temp=90.125;heater=0;scale=0.033041129256;pressure=4.095;pump=72.28938476741314;stage=1;
t=1655301837.2560854;temp=90.125;heater=0;scale=0.009789964224;pressure=4.095;pump=72.52311100065708;stage=1;
t=1655301837.302712;temp=90.125;heater=0;scale=0.009789964224;pressure=4.095;pump=72.76586256921291;stage=1;
t=1655301837.3579614;temp=90.125;heater=0;scale=0.024321942369000003;pressure=4.079;pump=72.99370835721493;stage=1;
t=1655301837.4047413;temp=90.0625;heater=0;scale=0.024321942369000003;pressure=4.079;pump=73.23700204491615;stage=1;
t=1655301837.4603236;temp=90.0625;heater=0;scale=0.019273992066;pressure=4.095;pump=73.47222883999348;stage=1;
t=1655301837.5063815;temp=90.0625;heater=0;scale=0.019273992066;pressure=4.095;pump=73.7078769505024;stage=1;
t=1655301837.5502603;temp=90.0625;heater=0;scale=0.019273992066;pressure=4.095;pump=73.7078769505024;stage=1;
t=1655301837.606361;temp=90.0625;heater=0;scale=-0.004742013921;pressure=4.095;pump=73.94108901917934;stage=1;
t=1655301837.652262;temp=90.0625;heater=0;scale=-0.004742013921;pressure=4.095;pump=74.1820125579834;stage=1;
t=1655301837.7083533;temp=90.0;heater=0;scale=-0.00611872764;pressure=4.095;pump=74.41337962448597;stage=1;
t=1655301837.7542994;temp=90.0;heater=0;scale=-0.00611872764;pressure=4.095;pump=74.65377302467823;stage=1;
t=1655301837.8101046;temp=90.0;heater=0;scale=-0.0059657594490000005;pressure=4.095;pump=74.88755616545677;stage=1;
